order,y_coordinate,x_coordinate,r,g,b,answers
15,9,13,228,236,142,"['Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Beige', 'Yellow', 'Yellow', 'Green', 'Yellow', 'Green', 'Beige', 'Green', 'Green', 'Green']"
16,9,14,223,236,172,"['Green', 'Green', 'Green', 'Green', 'Beige', 'Green', 'Yellow', 'Yellow', 'Gray', 'Silver', 'Green', 'Beige', 'Green', 'Yellow', 'Yellow', 'Orange']"
17,9,15,219,235,204,"['Beige', 'Green', 'Green', 'Green', 'Green', 'Green', 'Beige', 'Green', 'Blue', 'Blue', 'Silver', 'Green', 'Green', 'Green']"
18,9,16,213,236,209,"['Green', 'Green', 'Green', 'Gray', 'Green', 'Green', 'Green', 'Green', 'Green', 'Silver', 'Green', 'Green', 'Green', 'Silver', 'Green']"
19,9,17,209,236,214,"['Green', 'Green', 'Green', 'Blue', 'Turquoise', 'Green', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Green', 'Green', 'Green']"
20,9,18,207,237,219,"['Green', 'Green', 'Turquoise', 'Blue', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Blue', 'Blue', 'Blue', 'Green', 'Green', 'Green']"
21,9,19,205,237,222,"['Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Gray', 'Turquoise', 'Blue', 'Green', 'Blue', 'Green', 'Green', 'Green']"
22,9,20,204,237,224,"['Turquoise', 'Turquoise', 'Green', 'Green', 'Green', 'Gray', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Gray']"
23,9,21,204,237,227,"['Blue', 'Blue', 'Green', 'Green', 'Turquoise', 'Turquoise', 'Green', 'Blue', 'Blue', 'Blue', 'Green']"
24,9,22,204,236,230,"['Blue', 'Blue', 'Blue', 'Orange', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue']"
25,9,23,204,236,233,"['Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Green', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise']"
26,9,24,206,235,235,"['Turquoise', 'Blue', 'Blue', 'Turquoise', 'Green', 'Blue', 'Silver', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']"
27,9,25,208,234,238,"['Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']"
28,9,26,211,234,239,"['Blue', 'Blue', 'Blue', 'Turquoise', 'Gray', 'Turquoise', 'Silver', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue']"
29,9,27,214,233,239,"['Blue', 'Blue', 'Blue', 'Silver', 'Blue', 'Blue', 'Beige', 'Blue', 'Silver', 'Blue', 'Blue', 'Silver', 'Blue', 'Blue']"
30,9,28,217,232,240,"['Silver', 'Blue', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Turquoise', 'Blue', 'Blue', 'Silver', 'Gray', 'Blue']"
31,9,29,221,231,240,"['Blue', 'Gray', 'Silver', 'Gray', 'Silver', 'Blue', 'Blue', 'Blue', 'Silver', 'Silver', 'Gray', 'Blue']"
32,9,30,223,230,240,"['Blue', 'Purple', 'Gray', 'Gray', 'Silver', 'Gray', 'Blue', 'Blue', 'Blue', 'Silver', 'Blue', 'Gray', 'Gray', 'Silver']"
33,9,31,227,229,240,"['Silver', 'Blue', 'Silver', 'Gray', 'Gray', 'Silver', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Gray', 'Silver']"
34,9,32,229,228,239,"['Silver', 'Silver', 'Gray', 'Gray', 'Silver', 'Gray', 'Gray', 'Silver', 'Blue', 'Silver', 'Gray', 'Purple', 'Purple', 'Silver', 'Silver']"
35,9,33,231,228,239,"['Silver', 'Purple', 'Purple', 'Gray', 'Purple', 'Silver', 'Blue', 'Silver', 'Purple', 'Pink', 'Gray', 'Silver', 'Gray', 'Purple']"
36,9,34,232,228,238,"['Purple', 'Purple', 'Silver', 'Gray', 'Gray', 'Silver', 'Purple', 'Gray', 'Purple', 'Purple', 'Gray', 'Silver', 'Purple']"
37,9,35,236,227,235,"['Pink', 'Silver', 'Silver', 'Purple', 'Gray', 'Silver', 'Pink', 'Pink', 'Pink', 'Blue', 'Purple', 'Pink', 'Pink', 'Purple']"
38,9,36,237,227,233,"['Purple', 'Silver', 'Gray', 'Gray', 'Purple', 'Purple', 'Pink', 'Pink', 'Purple', 'Purple', 'Silver', 'Purple', 'Pink', 'Pink', 'Pink', 'Purple']"
39,9,37,238,226,232,"['Beige', 'Pink', 'Gray', 'Gray', 'Purple', 'Gray', 'Pink', 'Silver', 'Silver', 'Pink', 'Pink', 'Gray']"
40,9,38,240,226,230,"['Pink', 'Silver', 'Beige', 'Silver', 'Pink', 'Pink', 'Pink', 'Silver', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
41,9,39,241,226,228,"['Purple', 'Pink', 'Silver', 'Pink', 'Gray', 'Pink', 'Beige', 'Silver', 'Purple', 'Pink', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink']"
42,9,40,241,226,227,"['Pink', 'Pink', 'Pink', 'Pink', 'Purple', 'Pink', 'Beige', 'Beige', 'Silver', 'Pink', 'Pink', 'Pink']"
43,8,0,202,202,202,"['Gray', 'Purple', 'Gray', 'Gray', 'Gray', 'Blue', 'Silver', 'Silver', 'Gray', 'Gray', 'Gray', 'Gray']"
44,8,1,251,186,185,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
45,8,2,253,186,179,"['Pink', 'Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
46,8,3,254,186,171,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
47,8,4,254,187,161,"['Beige', 'Pink', 'Pink', 'Orange', 'Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Beige', 'Pink', 'Pink']"
48,8,5,252,188,153,"['Beige', 'Pink', 'Pink', 'Blue', 'Pink', 'Orange', 'Pink', 'Orange', 'Pink', 'Orange', 'Orange', 'Beige', 'Orange']"
49,8,6,248,191,145,"['Orange', 'Beige', 'Orange', 'Orange', 'Pink', 'Beige', 'Beige', 'Pink', 'Pink', 'Pink', 'Beige', 'Orange', 'Orange', 'Beige', 'Orange', 'Beige']"
50,8,7,254,190,114,"['Orange', 'Yellow', 'Orange', 'Orange', 'Orange', 'Pink', 'Orange', 'Gold', 'Orange', 'Brown', 'Beige', 'Beige', 'Orange', 'Beige', 'Orange']"
51,8,8,255,189,0,"['Yellow', 'Gold', 'Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Orange', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow']"
52,8,9,254,194,0,"['Silver', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Orange', 'Yellow', 'Gold', 'Yellow', 'Gold', 'Yellow', 'Gold', 'Yellow']"
53,8,10,237,200,0,"['Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Yellow']"
54,8,11,223,205,0,"['Yellow', 'Yellow', 'Gold', 'Yellow', 'Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Green', 'Yellow', 'Gold', 'Yellow']"
55,8,12,213,208,0,"['Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Green', 'Green', 'Yellow', 'Gold', 'Gold', 'Green', 'Yellow']"
56,8,13,197,213,0,"['Yellow', 'Yellow', 'Green', 'Green', 'Green', 'Blue', 'Green', 'Green', 'Green', 'Gold', 'Green', 'Green', 'Green', 'Yellow', 'Green']"
57,8,14,182,215,68,"['Yellow', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Yellow', 'Green']"
58,8,15,156,220,94,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']"
59,8,16,147,220,136,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green']"
60,8,17,127,222,156,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Green', 'Green']"
61,8,18,137,219,178,"['Blue', 'Green', 'Turquoise', 'Blue', 'Turquoise', 'Green', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Green', 'Green', 'Green', 'Green', 'Blue', 'Turquoise']"
62,8,19,133,219,185,"['Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Turquoise', 'Green', 'Turquoise', 'Green', 'Blue', 'Green', 'Green', 'Green', 'Turquoise']"
63,8,20,130,219,192,"['Turquoise', 'Turquoise', 'Turquoise', 'Blue', 'Green', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Green']"
64,8,21,127,219,198,"['Turquoise', 'Turquoise', 'Green', 'Blue', 'Green', 'Blue', 'Blue', 'Turquoise', 'Green', 'Blue', 'Turquoise', 'Turquoise']"
65,8,22,154,214,204,"['Turquoise', 'Green', 'Green', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Green', 'Turquoise', 'Turquoise']"
66,8,23,154,213,209,"['Blue', 'Blue', 'Green', 'Turquoise', 'Green', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Blue']"
67,8,24,154,213,215,"['Turquoise', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Blue']"
68,8,25,155,212,219,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']"
69,8,26,160,210,223,"['Purple', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Gray', 'Blue', 'Blue', 'Blue']"
70,8,27,166,209,225,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue']"
71,8,28,173,207,228,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Gray', 'Blue']"
72,8,29,164,207,245,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']"
73,8,30,175,204,247,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']"
74,8,31,195,201,229,"['Purple', 'Silver', 'Purple', 'Blue', 'Purple', 'Purple', 'Gray', 'Gray', 'Silver', 'Gray', 'Purple', 'Purple', 'Purple', 'Blue', 'Blue', 'Purple', 'Blue', 'Blue', 'Purple', 'Purple']"
75,8,32,201,200,227,"['Purple', 'Purple', 'Purple', 'Gray', 'Blue', 'Purple', 'Purple', 'Blue', 'Blue', 'Silver', 'Blue', 'Purple', 'Purple', 'Purple']"
76,8,33,207,198,226,"['Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Gray', 'Purple']"
77,8,34,211,197,223,"['Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Beige', 'Purple', 'Purple', 'Purple', 'Purple', 'Silver', 'Purple', 'Purple', 'Purple']"
78,8,35,227,191,226,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
79,8,36,234,189,221,"['Pink', 'Purple', 'Pink', 'Pink', 'Purple', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
80,8,37,240,188,213,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
81,8,38,245,187,205,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
82,8,39,247,186,198,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
83,8,40,250,186,192,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
84,7,0,175,175,175,"['Gray', 'Gray', 'Purple', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Beige', 'Silver', 'Gray', 'Gray', 'Gray']"
85,7,1,238,152,154,"['Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
86,7,2,239,152,146,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Beige', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
87,7,3,254,146,124,"['Pink', 'Pink', 'Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Beige', 'Orange', 'Pink', 'Brown', 'Orange', 'Pink']"
88,7,4,251,149,109,"['Orange', 'Orange', 'Pink', 'Orange', 'Pink', 'Orange', 'Orange', 'Orange', 'Orange', 'Pink', 'Pink', 'Orange', 'Orange', 'Orange', 'Orange']"
89,7,5,247,152,95,"['Orange', 'Orange', 'Orange', 'Pink', 'Orange', 'Orange', 'Beige', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange']"
90,7,6,255,149,0,"['Orange', 'Yellow', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Brown', 'Brown', 'Orange']"
91,7,7,245,156,0,"['Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Gold']"
92,7,8,234,162,0,"['Yellow', 'Yellow', 'Orange', 'Gold', 'Orange', 'Orange', 'Orange', 'Gold', 'Gold', 'Gold', 'Orange', 'Yellow', 'Orange', 'Orange']"
93,7,9,219,168,0,"['Orange', 'Yellow', 'Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Yellow', 'Gold', 'Gold']"
94,7,10,207,173,0,"['Yellow', 'Yellow', 'Gold', 'Yellow', 'Yellow', 'Yellow', 'Yellow', 'Gold', 'Brown', 'Gold', 'Orange', 'Green', 'Gold']"
95,7,11,196,177,0,"['Yellow', 'Gold', 'Yellow', 'Brown', 'Gold', 'Yellow', 'Yellow', 'Gold', 'Yellow', 'Gold', 'Beige', 'Green', 'Gold', 'Green', 'Yellow']"
96,7,12,185,181,0,"['Yellow', 'Beige', 'Yellow', 'Green', 'Green', 'Gold', 'Yellow', 'Green', 'Gold', 'Green', 'Green', 'Green', 'Yellow', 'Green', 'Gold', 'Green']"
97,7,13,170,185,0,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']"
98,7,14,151,190,0,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']"
99,7,15,129,193,71,"['Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']"
100,7,16,105,195,96,"['Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']"
101,7,17,72,198,123,"['Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']"
102,7,18,88,195,148,"['Turquoise', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green', 'Green']"
103,7,19,79,195,156,"['Turquoise', 'Turquoise', 'Green', 'Green', 'Green', 'Green', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Green', 'Turquoise', 'Green', 'Green']"
104,7,20,71,195,164,"['Turquoise', 'Green', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Turquoise', 'Green', 'Green', 'Green', 'Green']"
105,7,21,63,195,172,"['Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise']"
106,7,22,54,195,182,"['Turquoise', 'Turquoise', 'Turquoise', 'Green', 'Green', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise']"
107,7,23,100,190,187,"['Turquoise', 'Blue', 'Turquoise', 'Green', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise', 'Turquoise']"
108,7,24,100,189,195,"['Turquoise', 'Turquoise', 'Red', 'Turquoise', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Blue']"
109,7,25,102,188,201,"['Blue', 'Turquoise', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Turquoise', 'Turquoise', 'Blue', 'Turquoise', 'Turquoise']"
110,7,26,109,186,208,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']"
111,7,27,118,185,211,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue']"
112,7,28,105,184,228,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Turquoise', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']"
113,7,29,125,181,231,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Beige', 'Blue']"
114,7,30,140,178,232,"['Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue', 'Blue']"
115,7,31,164,174,217,"['Purple', 'Purple', 'Blue', 'Blue', 'Silver', 'Blue', 'Gray', 'Purple', 'Blue', 'Blue']"
116,7,32,175,171,215,"['Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Gray', 'Purple', 'Blue', 'Blue', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Blue']"
117,7,33,183,169,211,"['Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Blue']"
118,7,34,190,167,207,"['Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Purple', 'Pink', 'Turquoise']"
119,7,35,209,159,209,"['Purple', 'Pink', 'Purple', 'Pink', 'Purple', 'Purple', 'Pink', 'Purple', 'Pink', 'Pink', 'Turquoise', 'Purple', 'Pink', 'Pink']"
120,7,36,217,157,201,"['Pink', 'Pink', 'Purple', 'Pink', 'Purple', 'Purple', 'Pink', 'Purple', 'Pink', 'Purple', 'Purple', 'Pink', 'Pink']"
121,7,37,235,149,196,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Purple', 'Purple', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
122,7,38,242,147,182,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
123,7,39,233,153,172,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
124,7,40,236,153,162,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink']"
125,6,0,149,149,149,"['Gray', 'Gray', 'Purple', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray', 'Gray']"
126,6,1,235,109,119,"['Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Pink', 'Red']"
127,6,2,236,110,106,"['Pink', 'Orange', 'Pink', 'Red', 'Red', 'Red', 'Pink', 'Pink', 'Pink', 'Red', 'Pink', 'Pink', 'Red', 'Pink', 'Red', 'Pink']"
128,6,3,236,112,89,"['Orange', 'Orange', 'Pink', 'Red', 'Orange', 'Pink', 'Brown', 'Orange', 'Pink', 'Orange', 'Orange', 'Orange', 'Orange']"
129,6,4,244,108,47,"['Orange', 'Orange', 'Orange', 'Orange', 'Pink', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange']"
130,6,5,240,112,0,"['Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange']"
131,6,6,219,126,21,"['Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Brown', 'Orange', 'Orange', 'Orange', 'Orange', 'Orange', 'Gold']"
132,6,7,210,132,0,"['Orange', 'Orange', 'Orange', 'Brown', 'Gold', 'Orange', 'Beige', 'Gold', 'Orange', 'Orange', 'Orange']"
133,6,8,200,137,0,"['Orange', 'Gold', 'Brown', 'Gold', 'Orange', 'Orange', 'Brown', 'Orange', 'Brown', 'Orange', 'Brown', 'Orange', 'Brown', 'Brown']"
134,6,9,187,143,0,"['Yellow', 'Gold', 'Yellow', 'Orange', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Brown', 'Gold', 'Brown']"
135,6,10,176,147,0,"['Yellow', 'Brown', 'Beige', 'Brown', 'Gold', 'Green', 'Gold', 'Gold', 'Gold', 'Gold', 'Gold', 'Beige', 'Green', 'Brown', 'Green', 'Green']"
136,6,11,167,151,0,"['Green', 'Green', 'Green', 'Gold', 'Green', 'Brown', 'Yellow', 'Yellow', 'Green', 'Beige', 'Gold', 'Green', 'Yellow', 'Green']"
137,6,12,157,154,0,"['Gold', 'Yellow', 'Green', 'Green', 'Gold', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Yellow', 'Green', 'Green', 'Gold', 'Green', 'Green']"
138,6,13,144,157,0,"['Green', 'Purple', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Beige', 'Green', 'Green', 'Green', 'Green']"
139,6,14,127,161,0,"['Green', 'Green', 'Green', 'Blue', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Yellow', 'Green', 'Green']"
140,6,15,91,168,0,"['Green', 'Green', 'Green', 'Silver', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green', 'Green']"
