id,stim_1,stim_2,idx_1,idx_2,sex_1,sex_2,dataset_1,dataset_2,speaker_1,speaker_2
44,Voiced_alveolar_plosive.mp3,Voiced_labiodental_fricative.mp3,3,6,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
45,Voiced_alveolar_plosive.mp3,Voiced_postalveolar_fricative.mp3,3,7,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
46,Voiced_alveolar_plosive.mp3,Voiced_velar_plosive.mp3,3,8,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
47,Voiced_alveolar_plosive.mp3,Voiceless_alveolar_fricative.mp3,3,9,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
48,Voiced_alveolar_plosive.mp3,Voiceless_alveolar_plosive.mp3,3,10,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
49,Voiced_alveolar_plosive.mp3,Voiceless_bilabial_plosive.mp3,3,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
50,Voiced_alveolar_plosive.mp3,Voiceless_dental_fricative.mp3,3,12,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
51,Voiced_alveolar_plosive.mp3,Voiceless_labiodental_fricative.mp3,3,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
52,Voiced_alveolar_plosive.mp3,Voiceless_postalveolar_fricative.mp3,3,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
53,Voiced_alveolar_plosive.mp3,Voiceless_velar_plosive.mp3,3,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
54,Voiced_bilabial_plosive.mp3,Voiced_dental_fricative.mp3,4,5,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
55,Voiced_bilabial_plosive.mp3,Voiced_labiodental_fricative.mp3,4,6,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
56,Voiced_bilabial_plosive.mp3,Voiced_postalveolar_fricative.mp3,4,7,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
57,Voiced_bilabial_plosive.mp3,Voiced_velar_plosive.mp3,4,8,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
58,Voiced_bilabial_plosive.mp3,Voiceless_alveolar_fricative.mp3,4,9,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
59,Voiced_bilabial_plosive.mp3,Voiceless_alveolar_plosive.mp3,4,10,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
60,Voiced_bilabial_plosive.mp3,Voiceless_bilabial_plosive.mp3,4,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
61,Voiced_bilabial_plosive.mp3,Voiceless_dental_fricative.mp3,4,12,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
62,Voiced_bilabial_plosive.mp3,Voiceless_labiodental_fricative.mp3,4,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
63,Voiced_bilabial_plosive.mp3,Voiceless_postalveolar_fricative.mp3,4,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
64,Voiced_bilabial_plosive.mp3,Voiceless_velar_plosive.mp3,4,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
65,Voiced_dental_fricative.mp3,Voiced_labiodental_fricative.mp3,5,6,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
66,Voiced_dental_fricative.mp3,Voiced_postalveolar_fricative.mp3,5,7,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
67,Voiced_dental_fricative.mp3,Voiced_velar_plosive.mp3,5,8,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
68,Voiced_dental_fricative.mp3,Voiceless_alveolar_fricative.mp3,5,9,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
69,Voiced_dental_fricative.mp3,Voiceless_alveolar_plosive.mp3,5,10,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
70,Voiced_dental_fricative.mp3,Voiceless_bilabial_plosive.mp3,5,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
71,Voiced_dental_fricative.mp3,Voiceless_dental_fricative.mp3,5,12,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
72,Voiced_dental_fricative.mp3,Voiceless_labiodental_fricative.mp3,5,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
73,Voiced_dental_fricative.mp3,Voiceless_postalveolar_fricative.mp3,5,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
74,Voiced_dental_fricative.mp3,Voiceless_velar_plosive.mp3,5,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
75,Voiced_labiodental_fricative.mp3,Voiced_postalveolar_fricative.mp3,6,7,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
76,Voiced_labiodental_fricative.mp3,Voiced_velar_plosive.mp3,6,8,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
77,Voiced_labiodental_fricative.mp3,Voiceless_alveolar_fricative.mp3,6,9,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
78,Voiced_labiodental_fricative.mp3,Voiceless_alveolar_plosive.mp3,6,10,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
79,Voiced_labiodental_fricative.mp3,Voiceless_bilabial_plosive.mp3,6,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
80,Voiced_labiodental_fricative.mp3,Voiceless_dental_fricative.mp3,6,12,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
81,Voiced_labiodental_fricative.mp3,Voiceless_labiodental_fricative.mp3,6,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
82,Voiced_labiodental_fricative.mp3,Voiceless_postalveolar_fricative.mp3,6,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
83,Voiced_labiodental_fricative.mp3,Voiceless_velar_plosive.mp3,6,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
84,Voiced_postalveolar_fricative.mp3,Voiced_velar_plosive.mp3,7,8,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
85,Voiced_postalveolar_fricative.mp3,Voiceless_alveolar_fricative.mp3,7,9,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
86,Voiced_postalveolar_fricative.mp3,Voiceless_alveolar_plosive.mp3,7,10,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
87,Voiced_postalveolar_fricative.mp3,Voiceless_bilabial_plosive.mp3,7,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
88,Voiced_postalveolar_fricative.mp3,Voiceless_dental_fricative.mp3,7,12,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
89,Voiced_postalveolar_fricative.mp3,Voiceless_labiodental_fricative.mp3,7,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
90,Voiced_postalveolar_fricative.mp3,Voiceless_postalveolar_fricative.mp3,7,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
91,Voiced_postalveolar_fricative.mp3,Voiceless_velar_plosive.mp3,7,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
92,Voiced_velar_plosive.mp3,Voiceless_alveolar_fricative.mp3,8,9,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
93,Voiced_velar_plosive.mp3,Voiceless_alveolar_plosive.mp3,8,10,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
94,Voiced_velar_plosive.mp3,Voiceless_bilabial_plosive.mp3,8,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
95,Voiced_velar_plosive.mp3,Voiceless_dental_fricative.mp3,8,12,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
96,Voiced_velar_plosive.mp3,Voiceless_labiodental_fricative.mp3,8,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
97,Voiced_velar_plosive.mp3,Voiceless_postalveolar_fricative.mp3,8,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
98,Voiced_velar_plosive.mp3,Voiceless_velar_plosive.mp3,8,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
99,Voiceless_alveolar_fricative.mp3,Voiceless_alveolar_plosive.mp3,9,10,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
100,Voiceless_alveolar_fricative.mp3,Voiceless_bilabial_plosive.mp3,9,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
101,Voiceless_alveolar_fricative.mp3,Voiceless_dental_fricative.mp3,9,12,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
102,Voiceless_alveolar_fricative.mp3,Voiceless_labiodental_fricative.mp3,9,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
103,Voiceless_alveolar_fricative.mp3,Voiceless_postalveolar_fricative.mp3,9,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
104,Voiceless_alveolar_fricative.mp3,Voiceless_velar_plosive.mp3,9,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
105,Voiceless_alveolar_plosive.mp3,Voiceless_bilabial_plosive.mp3,10,11,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
106,Voiceless_alveolar_plosive.mp3,Voiceless_dental_fricative.mp3,10,12,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
107,Voiceless_alveolar_plosive.mp3,Voiceless_labiodental_fricative.mp3,10,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
108,Voiceless_alveolar_plosive.mp3,Voiceless_postalveolar_fricative.mp3,10,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
109,Voiceless_alveolar_plosive.mp3,Voiceless_velar_plosive.mp3,10,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
110,Voiceless_bilabial_plosive.mp3,Voiceless_dental_fricative.mp3,11,12,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
111,Voiceless_bilabial_plosive.mp3,Voiceless_labiodental_fricative.mp3,11,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
112,Voiceless_bilabial_plosive.mp3,Voiceless_postalveolar_fricative.mp3,11,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
113,Voiceless_bilabial_plosive.mp3,Voiceless_velar_plosive.mp3,11,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
114,Voiceless_dental_fricative.mp3,Voiceless_labiodental_fricative.mp3,12,13,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
115,Voiceless_dental_fricative.mp3,Voiceless_postalveolar_fricative.mp3,12,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
116,Voiceless_dental_fricative.mp3,Voiceless_velar_plosive.mp3,12,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
117,Voiceless_labiodental_fricative.mp3,Voiceless_postalveolar_fricative.mp3,13,14,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
118,Voiceless_labiodental_fricative.mp3,Voiceless_velar_plosive.mp3,13,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
119,Voiceless_postalveolar_fricative.mp3,Voiceless_velar_plosive.mp3,14,15,male,male,internationalphoneticassociation-org,internationalphoneticassociation-org,JW,JW
120,Alveolar_nasal.mp3,Bilabial_nasal.mp3,0,1,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
121,Alveolar_nasal.mp3,Voiced_alveolar_fricative.mp3,0,2,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
122,Alveolar_nasal.mp3,Voiced_alveolar_plosive.mp3,0,3,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
123,Alveolar_nasal.mp3,Voiced_bilabial_plosive.mp3,0,4,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
124,Alveolar_nasal.mp3,Voiced_dental_fricative.mp3,0,5,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
125,Alveolar_nasal.mp3,Voiced_labiodental_fricative.mp3,0,6,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
126,Alveolar_nasal.mp3,Voiced_postalveolar_fricative.mp3,0,7,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
127,Alveolar_nasal.mp3,Voiced_velar_plosive.mp3,0,8,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
128,Alveolar_nasal.mp3,Voiceless_alveolar_fricative.mp3,0,9,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
129,Alveolar_nasal.mp3,Voiceless_alveolar_plosive.mp3,0,10,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
130,Alveolar_nasal.mp3,Voiceless_bilabial_plosive.mp3,0,11,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
131,Alveolar_nasal.mp3,Voiceless_dental_fricative.mp3,0,12,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
132,Alveolar_nasal.mp3,Voiceless_labiodental_fricative.mp3,0,13,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
133,Alveolar_nasal.mp3,Voiceless_postalveolar_fricative.mp3,0,14,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
134,Alveolar_nasal.mp3,Voiceless_velar_plosive.mp3,0,15,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
135,Bilabial_nasal.mp3,Voiced_alveolar_fricative.mp3,1,2,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
136,Bilabial_nasal.mp3,Voiced_alveolar_plosive.mp3,1,3,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
137,Bilabial_nasal.mp3,Voiced_bilabial_plosive.mp3,1,4,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
138,Bilabial_nasal.mp3,Voiced_dental_fricative.mp3,1,5,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
139,Bilabial_nasal.mp3,Voiced_labiodental_fricative.mp3,1,6,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
140,Bilabial_nasal.mp3,Voiced_postalveolar_fricative.mp3,1,7,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
141,Bilabial_nasal.mp3,Voiced_velar_plosive.mp3,1,8,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
142,Bilabial_nasal.mp3,Voiceless_alveolar_fricative.mp3,1,9,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
143,Bilabial_nasal.mp3,Voiceless_alveolar_plosive.mp3,1,10,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
144,Bilabial_nasal.mp3,Voiceless_bilabial_plosive.mp3,1,11,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
145,Bilabial_nasal.mp3,Voiceless_dental_fricative.mp3,1,12,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
146,Bilabial_nasal.mp3,Voiceless_labiodental_fricative.mp3,1,13,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
147,Bilabial_nasal.mp3,Voiceless_postalveolar_fricative.mp3,1,14,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
148,Bilabial_nasal.mp3,Voiceless_velar_plosive.mp3,1,15,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
149,Voiced_alveolar_fricative.mp3,Voiced_alveolar_plosive.mp3,2,3,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
150,Voiced_alveolar_fricative.mp3,Voiced_bilabial_plosive.mp3,2,4,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
151,Voiced_alveolar_fricative.mp3,Voiced_dental_fricative.mp3,2,5,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
152,Voiced_alveolar_fricative.mp3,Voiced_labiodental_fricative.mp3,2,6,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
153,Voiced_alveolar_fricative.mp3,Voiced_postalveolar_fricative.mp3,2,7,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
154,Voiced_alveolar_fricative.mp3,Voiced_velar_plosive.mp3,2,8,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
155,Voiced_alveolar_fricative.mp3,Voiceless_alveolar_fricative.mp3,2,9,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
156,Voiced_alveolar_fricative.mp3,Voiceless_alveolar_plosive.mp3,2,10,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
157,Voiced_alveolar_fricative.mp3,Voiceless_bilabial_plosive.mp3,2,11,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
158,Voiced_alveolar_fricative.mp3,Voiceless_dental_fricative.mp3,2,12,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
159,Voiced_alveolar_fricative.mp3,Voiceless_labiodental_fricative.mp3,2,13,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
160,Voiced_alveolar_fricative.mp3,Voiceless_postalveolar_fricative.mp3,2,14,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
161,Voiced_alveolar_fricative.mp3,Voiceless_velar_plosive.mp3,2,15,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
162,Voiced_alveolar_plosive.mp3,Voiced_bilabial_plosive.mp3,3,4,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
163,Voiced_alveolar_plosive.mp3,Voiced_dental_fricative.mp3,3,5,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
164,Voiced_alveolar_plosive.mp3,Voiced_labiodental_fricative.mp3,3,6,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
165,Voiced_alveolar_plosive.mp3,Voiced_postalveolar_fricative.mp3,3,7,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
166,Voiced_alveolar_plosive.mp3,Voiced_velar_plosive.mp3,3,8,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
167,Voiced_alveolar_plosive.mp3,Voiceless_alveolar_fricative.mp3,3,9,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
168,Voiced_alveolar_plosive.mp3,Voiceless_alveolar_plosive.mp3,3,10,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
169,Voiced_alveolar_plosive.mp3,Voiceless_bilabial_plosive.mp3,3,11,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
170,Voiced_alveolar_plosive.mp3,Voiceless_dental_fricative.mp3,3,12,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
171,Voiced_alveolar_plosive.mp3,Voiceless_labiodental_fricative.mp3,3,13,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
172,Voiced_alveolar_plosive.mp3,Voiceless_postalveolar_fricative.mp3,3,14,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
173,Voiced_alveolar_plosive.mp3,Voiceless_velar_plosive.mp3,3,15,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
174,Voiced_bilabial_plosive.mp3,Voiced_dental_fricative.mp3,4,5,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
175,Voiced_bilabial_plosive.mp3,Voiced_labiodental_fricative.mp3,4,6,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
176,Voiced_bilabial_plosive.mp3,Voiced_postalveolar_fricative.mp3,4,7,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
177,Voiced_bilabial_plosive.mp3,Voiced_velar_plosive.mp3,4,8,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
178,Voiced_bilabial_plosive.mp3,Voiceless_alveolar_fricative.mp3,4,9,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
179,Voiced_bilabial_plosive.mp3,Voiceless_alveolar_plosive.mp3,4,10,female,female,internationalphoneticassociation-org,internationalphoneticassociation-org,JH,JH
